movie_title,movie_summary,release_date,genres,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
Titanic (1997),"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",1997-12-19,Drama Romance,194,674354882,1590450697.0,2264812968,28638131.0,Paramount Pictures
Bean (1997),The bumbling Mr. Bean travels to America when he is given the responsibility of bringing a highly valuable painting to a Los Angeles museum.,1997-10-17,Adventure Comedy Family,89,45319423,205893247.0,251212670,2255233.0,Gramercy Pictures (I)
Men in Black (1997),"James, an NYC cop, is hired by Agent K of a secret government agency that monitors extraterrestrial life on Earth. Together, they must recover an item that has been stolen by an intergalactic villain.",1997-07-02,Action Adventure Comedy Sci-Fi,98,250690539,338700000.0,589390539,51068455.0,Sony Pictures Releasing
Batman & Robin (1997),Batman and Robin try to keep their relationship together even as they must stop Mr. Freeze and Poison Ivy from freezing Gotham City.,1997-06-20,Action Sci-Fi,125,107353792,130900196.0,238259753,42872605.0,Warner Bros.
The Lost World: Jurassic Park (1997),"A research team is sent to the Jurassic Park Site B island to study the dinosaurs there, while an InGen team approaches with another agenda.",1997-05-23,Action Adventure Sci-Fi,129,229086679,389552320.0,618638999,72132785.0,Universal Pictures
Liar Liar (1997),A pathological liar-lawyer finds his career turned upside down when he inexplicably cannot physically lie for 24 whole hours.,1997-03-21,Comedy Fantasy,86,181410615,121300000.0,302710615,31423025.0,Universal Pictures
Air Force One (1997),"Communist radicals led by Ivan Korshunov hijack Air Force One with US President James Marshall and his family on board. Vice President Kathryn Bennett negotiates from Washington D.C., while Marshall fights to rescue the hostages on board.",1997-07-25,Action Crime Drama Thriller,124,172956409,142200000.0,315156409,37132505.0,Sony Pictures Releasing
Speed 2: Cruise Control (1997),A computer hacker breaks into the computer system of the Seabourn Legend cruise liner and sets it speeding on a collision course into a gigantic oil tanker.,1997-06-13,Action Adventure Crime Romance Thriller,121,48608066,115900000.0,164508066,16158942.0,Twentieth Century Fox
Star Wars: Episode IV - A New Hope (1977),"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",1977-05-25,Action Adventure Fantasy Sci-Fi,121,460998507,314400000.0,775398507,1554475.0,Twentieth Century Fox
As Good as It Gets (1997),"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.",1997-12-23,Comedy Drama Romance,139,148478011,165700000.0,314178011,12606928.0,Sony Pictures Releasing
Good Will Hunting (1997),"A therapist counsels Will Hunting, a janitor with a genius IQ.",1997-12-05,Drama Romance,126,138433435,87500000.0,225933435,272912.0,Miramax
My Best Friend's Wedding (1997),"When a woman's long-time friend reveals he's engaged, she realizes she loves him herself and sets out to get him, with only days before the wedding.",1997-06-20,Comedy Drama Romance,105,127120029,172168576.0,299288605,21678377.0,Sony Pictures Releasing
Tomorrow Never Dies (1997),James Bond sets out to stop a media mogul's plan to induce a war between China and the United Kingdom.,1997-12-19,Action Adventure Thriller,119,125304276,207706792.0,333011068,25143007.0,Metro-Goldwyn-Mayer (MGM)
The Full Monty (1997),"Six unemployed steel workers form a male striptease act. The women cheer them on to go for ""the full monty"" - total nudity.",1997-08-15,Comedy Drama,91,45950122,211988527.0,257938649,176585.0,Fox Searchlight Pictures
Face/Off (1997),"To foil a terrorist plot, an FBI agent assumes the identity of the criminal who murdered his son via facial transplant surgery, but the crook wakes up prematurely and vows revenge.",1997-06-27,Action Crime Sci-Fi Thriller,138,112276146,133400000.0,245676146,23387530.0,Paramount Pictures
George of the Jungle (1997),A man raised in the jungle by apes falls in love with a wealthy American heiress.,1997-07-18,Action Adventure Comedy Family Romance,92,105263257,69200000.0,174463257,16540791.0,Walt Disney Studios Motion Pictures
Scream 2 (1997),A masked killer purses a student and her friends.,1997-12-12,Horror Mystery,120,101363301,71000000.0,172363301,32926342.0,Dimension Films
Con Air (1997),"Former US Amy Ranger, Cameron Poe, has just been paroled for manslaughter, but must stop a group of violent and deadly criminals from escaping the country after they seize control of the prison transport plane he is on.",1997-06-06,Action Crime Thriller,115,101117573,122894661.0,224012234,24131738.0,Walt Disney Studios Motion Pictures
Contact (1997),"Dr. Ellie Arroway, after years of searching, finds conclusive radio proof of extraterrestrial intelligence, sending plans for a mysterious machine.",1997-07-11,Drama Mystery Sci-Fi Thriller,150,100920329,70200000.0,171120329,20584908.0,Warner Bros.
Hercules (1997),The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.,1997-06-15,Action Adventure Animation Comedy Family Fantasy Musical Romance,93,99112101,153600000.0,252712101,249567.0,Walt Disney Studios Motion Pictures
Flubber (1997),"An absent-minded professor discovers ""flubber,"" a rubber-like super-bouncy substance.",1997-11-26,Comedy Family Sci-Fi,93,92977226,85000000.0,177977226,26725207.0,Walt Disney Studios Motion Pictures
